Index,Image Features
128,"[ 2.06195582e-02  1.39583470e-02  4.15337890e-01 ... -8.58793769e-17
  1.49532710e+00  5.43000000e+02]"
129,"[2.04603001e-01 9.11407471e-01 2.34213769e-02 ... 2.39979216e-16
 1.49882904e+00 5.61000000e+02]"
130,"[ 4.20186892e-02  7.86246419e-01  2.42295337e+00 ... -1.33375530e-16
  1.33333333e+00  1.03300000e+03]"
131,"[4.20087069e-01 4.82416153e-01 7.62936652e-01 ... 1.83535224e-19
 1.50234742e+00 1.09900000e+03]"
132,"[ 1.27075315e-01  3.77847143e-02  3.05945134e+00 ... -7.07321415e-23
  1.33333333e+00  1.66700000e+03]"
133,"[1.44064918e-01 1.42348182e+00 7.19371557e-01 ... 2.98973241e-19
 1.49882904e+00 8.16000000e+02]"
134,"[2.37387270e-01 3.34982276e-01 1.89617589e-01 ... 6.07922222e-16
 1.33333333e+00 4.35000000e+02]"
135,"[2.15323880e-01 7.43613422e-01 6.22497439e-01 ... 2.70193322e-16
 1.33056133e+00 7.09000000e+02]"
136,"[ 2.52220422e-01  1.03088342e-01  1.50556493e+00 ... -9.80775127e-17
  8.37500000e-01  8.51000000e+02]"
137,"[5.75913712e-02 1.35055912e+00 8.83353889e-01 ... 4.67097264e-17
 1.33333333e+00 6.27000000e+02]"
138,"[ 1.91042587e-01  1.03503430e+00  6.77606165e-01 ... -1.39956465e-18
  1.49882904e+00  9.39000000e+02]"
139,"[ 2.92646408e-01  5.52423537e-01  8.96319151e-01 ... -3.86837091e-16
  1.33333333e+00  3.02000000e+02]"
140,"[1.28076434e-01 1.19811404e+00 1.49236411e-01 ... 3.14552092e-19
 6.37500000e-01 5.46000000e+02]"
141,"[ 2.37018898e-01  8.73979211e-01  6.72575980e-02 ... -1.12466162e-18
  1.33891213e+00  5.46000000e+02]"
142,"[0.00000000e+00 9.93445069e-02 8.68530944e-02 ... 3.04158223e-18
 6.67187500e-01 6.59000000e+02]"
143,"[0.00000000e+00 8.35556030e-01 3.27007890e-01 ... 1.04123519e-16
 1.50588235e+00 5.63000000e+02]"
144,"[ 3.18093449e-01  6.33761644e-01  4.51694131e-01 ... -1.09717774e-14
  1.33333333e+00  3.08000000e+02]"
145,"[ 4.10524845e-01  1.21776533e+00  4.23244275e-02 ... -1.27837648e-15
  1.18081181e+00  1.00000000e+00]"
146,"[9.76231620e-02 3.72159749e-01 2.20996931e-01 ... 9.07323929e-19
 1.18518519e+00 6.81000000e+02]"
147,"[ 2.46754453e-01  1.72774088e+00  1.03600502e+00 ... -1.19663212e-15
  8.51562500e-01  6.04000000e+02]"
148,"[ 2.34670496e+00  8.33382234e-02  7.39734098e-02 ... -6.13550427e-16
  1.50588235e+00  1.76000000e+02]"
149,"[6.63042068e-04 3.24400246e-01 9.26513970e-01 ... 9.53965880e-18
 6.84375000e-01 1.18300000e+03]"
150,"[0.00000000e+00 2.02276492e+00 2.02090836e+00 ... 1.12169342e-17
 4.46875000e-01 6.72000000e+02]"
151,"[1.14485465e-01 8.62104118e-01 0.00000000e+00 ... 2.74664728e-18
 1.50234742e+00 5.94000000e+02]"
152,"[7.30616927e-01 6.62005186e-01 0.00000000e+00 ... 4.49035849e-19
 1.25490196e+00 1.40800000e+03]"
153,"[8.12032223e-02 3.70030165e-01 2.68635988e-01 ... 3.93438316e-18
 1.49532710e+00 1.09000000e+03]"
154,"[5.23833215e-01 2.20698312e-01 1.94251269e-01 ... 2.37690550e-16
 1.43497758e+00 5.71000000e+02]"
155,"[ 2.98075285e-02  8.29684675e-01  8.70630085e-01 ... -1.85087857e-17
  1.33333333e+00  1.01200000e+03]"
156,"[ 1.44938493e+00  3.43927073e+00  1.60213363e+00 ... -7.29704755e-18
  1.50943396e+00  1.22200000e+03]"
157,"[1.33884907e+00 2.99655348e-02 2.06161833e+00 ... 3.61343172e-14
 1.33333333e+00 3.06000000e+02]"
158,"[ 1.23895258e-01  5.72823584e-01  1.00987300e-01 ... -9.25070833e-18
  1.33333333e+00  1.39800000e+03]"
159,"[ 0.00000000e+00  3.78718637e-02  1.85987079e+00 ... -4.75076893e-16
  1.49882904e+00  5.11000000e+02]"
160,"[5.41346788e-01 3.28382373e-01 4.00871426e-01 ... 9.72749511e-18
 1.33333333e+00 2.68000000e+02]"
161,"[ 0.00000000e+00  1.86325800e+00  1.15596712e-01 ... -1.11693085e-18
  1.33333333e+00  8.28000000e+02]"
162,"[ 4.62356694e-02  9.48078856e-02  2.09693599e+00 ... -1.62908698e-16
  7.04687500e-01  5.52000000e+02]"
163,"[ 1.05255440e-01  7.34858274e-01  2.86276281e-01 ... -1.38334609e-18
  1.40043764e+00  7.33000000e+02]"
164,"[0.00000000e+00 1.29033044e-01 9.99250889e-01 ... 3.90443999e-14
 1.33333333e+00 2.58000000e+02]"
165,"[ 3.64370011e-02  1.90609042e-02  2.36622944e-01 ... -4.36849389e-20
  1.33333333e+00  1.84900000e+03]"
166,"[ 4.04786877e-02  3.07670742e-01  7.60468422e-03 ... -1.44632821e-19
  1.33333333e+00  3.62400000e+03]"
167,"[0.00000000e+00 5.03190994e-01 7.21744224e-02 ... 3.68367234e-19
 1.35306554e+00 5.54000000e+02]"
168,"[1.06996030e-01 3.19104135e-01 4.50354338e-01 ... 7.87710690e-18
 1.49882904e+00 8.01000000e+02]"
169,"[2.65012950e-01 8.55299830e-01 5.88996053e-01 ... 2.59911895e-17
 1.25000000e+00 1.34000000e+02]"
